question,answer
आर्टिफिशियल जनरल इंटेलिजेंस (एजीआई) क्या है?,आर्टिफिशियल जनरल इंटेलिजेंस (एजीआई) किसी भी बौद्धिक कार्य को समझने या सीखने के लिए मशीनों की काल्पनिक क्षमता को संदर्भित करता है जो एक इंसान कर सकता है। \ n
समझाने योग्य एआई (एक्सएआई) क्या है?,"समझाने योग्य एआई (एक्सएआई) सिस्टम के विकास को संदर्भित करता है जो उनके निर्णयों या कार्यों के लिए पारदर्शी और समझने योग्य स्पष्टीकरण प्रदान कर सकता है, विशेष रूप से महत्वपूर्ण या उच्च-दांव स्थितियों में। \ n"
चैटबॉट क्या है?,एक चैटबॉट एक एआई-संचालित सॉफ्टवेयर एप्लिकेशन है जिसे मानव वार्तालाप का अनुकरण करने और पाठ-आधारित या आवाज-आधारित इंटरैक्शन के माध्यम से स्वचालित ग्राहक सेवा या सहायता प्रदान करने के लिए डिज़ाइन किया गया है। \ n
एक सिफारिश प्रणाली क्या है?,"एक सिफारिश प्रणाली एक एआई-आधारित एल्गोरिथ्म है जिसका उपयोग उनके पिछले व्यवहार, वरीयताओं या रुचियों के आधार पर उपयोगकर्ताओं को आइटम, उत्पादों या सेवाओं का सुझाव देने के लिए किया जाता है।"
एआई और मशीन लर्निंग में क्या अंतर है?,"एआई मशीनों में मानव बुद्धि के अनुकरण को संदर्भित करता है, जबकि मशीन लर्निंग एआई का एक सबसेट है जो मशीनों को स्पष्ट रूप से प्रोग्राम किए बिना अनुभव से सीखने और सुधारने की अनुमति देता है। \ n"
पर्यवेक्षित और असुरक्षित सीखने के बीच क्या अंतर है?,"पर्यवेक्षित शिक्षण में कंप्यूटर को लेबल किए गए उदाहरणों के साथ सीखने के लिए प्रदान करना शामिल है, जबकि अनियंत्रित सीखने में कंप्यूटर को में पैटर्न और संबंध सीखने की अनुमति देना शामिल है"
एआई एल्गोरिथ्म क्या है?,एक एआई एल्गोरिथ्म नियमों या निर्देशों का एक सेट है जो कंप्यूटर प्रोग्राम निर्णय लेने या बुद्धिमान तरीके से कार्य करने के लिए अनुसरण करता है। \ n
एआई के कुछ अनुप्रयोग क्या हैं?,"एआई में छवि और भाषण मान्यता, प्राकृतिक भाषा प्रसंस्करण, स्वायत्त वाहन, स्वास्थ्य सेवा, वित्त, और अधिक शामिल हैं।"
सुदृढीकरण सीखने क्या है?,सुदृढीकरण लर्निंग एक प्रकार की मशीन लर्निंग है जिसमें अपने कार्यों के आधार पर पुरस्कार या दंड प्राप्त करके निर्णय लेने के लिए एक एजेंट को प्रशिक्षित करना शामिल है। \ n
कृत्रिम बुद्धिमत्ता के तीन प्रकार क्या हैं?,"तीन प्रकार की कृत्रिम बुद्धिमत्ता संकीर्ण या कमजोर एआई, सामान्य या मजबूत एआई, और कृत्रिम अधीक्षक हैं। \ n"
ट्रांसफर लर्निंग क्या है?,"ट्रांसफर लर्निंग एक मशीन लर्निंग तकनीक है जहां एक पूर्व-प्रशिक्षित मॉडल का उपयोग एक नए मॉडल के लिए एक शुरुआती बिंदु के रूप में किया जाता है, ताकि प्रशिक्षण को गति दी जा सके और प्रदर्शन में सुधार किया जा सके। \एन"
एआई और मशीन लर्निंग में क्या अंतर है?,"एआई एक व्यापक क्षेत्र है जो मशीन लर्निंग, प्राकृतिक भाषा प्रसंस्करण, कंप्यूटर विजन और बहुत कुछ सहित कई उपक्षेत्रों को शामिल करता है। मशीन लर्निंग एआई का एक सबसेट है जिसमें डेटा के आधार पर भविष्यवाणियां या निर्णय लेने के लिए प्रशिक्षण एल्गोरिदम शामिल हैं। \एन"
ओवरफिटिंग क्या है?,"ओवरफिटिंग तब होता है जब किसी मॉडल को प्रशिक्षण डेटा पर बहुत अधिक प्रशिक्षित किया जाता है, इस बिंदु पर कि यह उस डेटा के लिए बहुत विशिष्ट हो जाता है और नए, अनदेखी डेटा के लिए अच्छी तरह से सामान्य नहीं होता है। \ n"
एक तंत्रिका नेटवर्क क्या है?,एक तंत्रिका नेटवर्क एक प्रकार का मशीन लर्निंग एल्गोरिथ्म है जिसे डेटा में पैटर्न को पहचानने के लिए डिज़ाइन किया गया है। यह मानव मस्तिष्क की संरचना के बाद मॉडलिंग की जाती है और इसमें परस्पर जुड़े नोड्स की परतें होती हैं जो जानकारी को संसाधित करती हैं। \ n
मशीन लर्निंग में क्या है?,मशीन लर्निंग में अंडरफिटिंग तब होती है जब कोई मॉडल बहुत सरल होता है और डेटा में अंतर्निहित पैटर्न को पकड़ने में विफल रहता है। इसे अधिक जटिल मॉडल का उपयोग करके या मौजूदा मॉडल की जटिलता को बढ़ाकर संबोधित किया जा सकता है
ट्यूरिंग टेस्ट क्या है?,"""ट्यूरिंग टेस्ट एक मशीन की क्षमता का एक उपाय है, जो एक मानव के बराबर, या अप्रभेद्य के बराबर बुद्धिमान व्यवहार को प्रदर्शित करने की क्षमता है।"
एक दृढ़ तंत्रिका नेटवर्क क्या है?,एक दृढ़ तंत्रिका नेटवर्क एक प्रकार का तंत्रिका नेटवर्क है जिसका उपयोग आमतौर पर कंप्यूटर विजन कार्यों में किया जाता है जो सुविधाओं को निकालने और छवियों को वर्गीकृत करने के लिए इनपुट छवि पर कन्व्यूशनल फ़िल्टर लागू करता है। \ n
प्राकृतिक भाषा पीढ़ी क्या है?,प्राकृतिक भाषा पीढ़ी (एनएलजी) एनएलपी की एक शाखा है जिसमें पाठ का उपयोग करने के लिए एल्गोरिदम का उपयोग करना शामिल है जो मानव भाषा की शैली और सामग्री की नकल करता है। \ n
चैटबॉट क्या है?,"एक चैटबॉट एक कंप्यूटर प्रोग्राम है जिसे मानव उपयोगकर्ताओं के साथ बातचीत का अनुकरण करने के लिए डिज़ाइन किया गया है, आमतौर पर इंटरनेट पर, प्राकृतिक भाषा प्रसंस्करण और अन्य एआई तकनीकों का उपयोग करके। \ n"
भावना विश्लेषण क्या है?,भावना विश्लेषण एक प्रकार का एनएलपी है जिसमें किसी विशेष विषय या विषय के प्रति लेखक के भावनात्मक स्वर या दृष्टिकोण को निर्धारित करने के लिए पाठ का विश्लेषण करना शामिल है।
पृथ्वी पर सबसे बड़ा जानवर क्या है?,नीली व्हेल पृथ्वी पर सबसे बड़ा जानवर है।
जंगल का राजा कौन है?,"शेर की धारणा ""जंगल का राजा"" होने की एक आम गलतफहमी है। शेर मुख्य रूप से घास के मैदानों और सवाना में पाए जाते हैं, जंगलों में नहीं। हालांकि, शेरों को अक्सर प्रतीकात्मक रूप से जंगल के राजा के रूप में संदर्भित किया जाता है क्योंकि उनकी ताकत, राजसी उपस्थिति और कुछ संस्कृतियों में रॉयल्टी के साथ संबंध।"
सबसे बड़ा भूमि जानवर क्या है?,अफ्रीकी हाथी सबसे बड़ा भूमि जानवर है।
सबसे तेज भूमि जानवर क्या है?,चीता सबसे तेज भूमि जानवर है।
कौन सा जानवर अपनी सांस सबसे लंबे समय तक पकड़ सकता है?,शुक्राणु व्हेल जानवरों के बीच अपनी सांस सबसे लंबे समय तक पकड़ सकती है।
दुनिया का सबसे लंबा जानवर क्या है?,जिराफ दुनिया का सबसे लंबा जानवर है।
किस जानवर का सबसे मजबूत काटने है?,खारे पानी के मगरमच्छ सभी जानवरों के बीच सबसे मजबूत काटने का है।
सबसे छोटा स्तनपायी क्या है?,"""भौंरा बल्ले, जिसे किटिस हॉग-नोज्ड बैट के रूप में भी जाना जाता है, सबसे छोटा स्तनपायी है।"""
किस जानवर के पास सबसे बड़ा पंख है?,भटकने वाले अल्बाट्रॉस में किसी भी जीवित पक्षी का सबसे बड़ा पंख है।
दुनिया में सबसे भारी पक्षी क्या है?,शुतुरमुर्ग दुनिया का सबसे भारी पक्षी है।
किस जानवर के पास सबसे अच्छी रात की दृष्टि है?,टार्सियर में जानवरों के बीच असाधारण रात की दृष्टि है।
सबसे विषैला सांप क्या है?,"अंतर्देशीय ताइपन, जिसे भयंकर सांप के रूप में भी जाना जाता है, को सबसे विषैला सांप माना जाता है।"
सबसे बड़ा भूमि जानवर क्या है?,अफ्रीकी हाथी सबसे बड़ा भूमि जानवर है।
सबसे तेज भूमि जानवर क्या है?,चीता सबसे तेज भूमि जानवर है।
कौन सा जानवर अपनी सांस सबसे लंबे समय तक पकड़ सकता है?,शुक्राणु व्हेल जानवरों के बीच अपनी सांस सबसे लंबे समय तक पकड़ सकती है।
दुनिया का सबसे लंबा जानवर क्या है?,जिराफ दुनिया का सबसे लंबा जानवर है।
किस जानवर का सबसे मजबूत काटने है?,खारे पानी के मगरमच्छ सभी जानवरों के बीच सबसे मजबूत काटने का है।
सबसे छोटा स्तनपायी क्या है?,"""भौंरा बल्ले, जिसे किटिस हॉग-नोज्ड बैट के रूप में भी जाना जाता है, सबसे छोटा स्तनपायी है।"""
किस जानवर के पास सबसे बड़ा पंख है?,भटकने वाले अल्बाट्रॉस में किसी भी जीवित पक्षी का सबसे बड़ा पंख है।
दुनिया में सबसे भारी पक्षी क्या है?,शुतुरमुर्ग दुनिया का सबसे भारी पक्षी है।
किस जानवर के पास सबसे अच्छी रात की दृष्टि है?,टार्सियर में जानवरों के बीच असाधारण रात की दृष्टि है।
किस जानवर का सबसे लंबा जीवन है?,"बोहेड व्हेल में स्तनधारियों के बीच सबसे लंबा जीवनकाल है, जिसमें कुछ लोग 200 साल से अधिक समय तक रहते हैं।"
दुनिया में सबसे जोर से जानवर क्या है?,"ब्लू व्हेल किसी भी जानवर की सबसे तेज आवाज पैदा करती है, जो 188 डेसिबल तक के स्तर तक पहुंचती है।"
किस जानवर में गंध की सबसे अच्छी भावना है?,ब्लडहाउंड को कुत्तों के बीच गंध की सबसे अच्छी भावना रखने के लिए जाना जाता है और अक्सर इसका उपयोग सुगंधों को ट्रैक करने के लिए किया जाता है।
सबसे बुद्धिमान गैर-मानव जानवर क्या है?,बॉटलेनोज़ डॉल्फिन को सबसे बुद्धिमान गैर-मानव जानवरों में से एक माना जाता है।
किस जानवर का सबसे लंबा प्रवास है?,"आर्कटिक टर्न जानवरों के बीच सबसे लंबे समय तक प्रवास के लिए रिकॉर्ड रखता है, प्रत्येक वर्ष आर्कटिक और अंटार्कटिक के बीच यात्रा करता है।"
शार्क की सबसे बड़ी प्रजाति क्या है?,"व्हेल शार्क शार्क की सबसे बड़ी प्रजाति है, जो 40 फीट या उससे अधिक की लंबाई तक पहुंचती है।"
किस जानवर में सबसे अधिक पैर हैं?,"मिलिपेड में जानवरों के बीच सबसे अधिक पैर होते हैं, जिनमें कुछ प्रजातियां 400 पैर होती हैं।"
सबसे विषैली मछली क्या है?,"स्टोनफ़िश को दुनिया की सबसे विषैली मछली माना जाता है, जो इंडो-पैसिफिक के तटीय क्षेत्रों में पाई जाती है।"
किस जानवर में सबसे लंबी गर्दन है?,"जिराफ में भूमि जानवरों के बीच सबसे लंबी गर्दन है, जो छह फीट तक की लंबाई तक पहुंच सकती है।"
पेंगुइन की सबसे बड़ी प्रजाति क्या है?,"सम्राट पेंगुइन पेंगुइन की सबसे बड़ी प्रजाति है, जिसमें वयस्क लगभग 3.7 फीट की ऊंचाइयों तक पहुंचते हैं।"
किस जानवर के पास सबसे अच्छा छलावरण है?,"गिरगिट को अपनी असाधारण छलावरण क्षमताओं के लिए जाना जाता है, जिससे यह अपने परिवेश के साथ मिश्रण करने की अनुमति देता है।"
सबसे तेज उड़ने वाला पक्षी क्या है?,"पेरेग्रीन फाल्कन सबसे तेज़ उड़ने वाला पक्षी है, जो अपने शिकार के दौरान 240 मील प्रति घंटे से अधिक की गति तक पहुंचने में सक्षम है।"
किस जानवर के पास सबसे लंबा टस्क है?,"अफ्रीकी हाथी में जीवित जानवरों के बीच सबसे लंबे समय तक टस्क होते हैं, कुछ व्यक्तियों के पास टस्क होते हैं जो 10 फीट से अधिक की लंबाई तक पहुंचते हैं।"
बंदर की सबसे छोटी प्रजाति क्या है?,"पिग्मी मार्मोसेट बंदर की सबसे छोटी प्रजाति है, जिसमें वयस्कों का वजन लगभग 4 से 5 औंस है।"
किस जानवर में सबसे शक्तिशाली जबड़े हैं?,"खारे पानी के मगरमच्छ में जीवित सरीसृपों के बीच सबसे शक्तिशाली जबड़े होते हैं, जो शिकार पर काटते समय अपार बल को बढ़ाते हैं।"
भालू की सबसे बड़ी प्रजाति क्या है?,"ध्रुवीय भालू भालू की सबसे बड़ी प्रजाति है, जिसमें वयस्क पुरुषों का वजन 1,500 पाउंड या उससे अधिक है।"
कैद में किस जानवर का सबसे लंबा जीवन है?,"गैलापागोस कछुए को कैद में 100 साल से अधिक समय तक रहने के लिए जाना जाता है, कुछ व्यक्ति 150 साल या उससे अधिक उम्र की उम्र तक पहुंचते हैं।"
बड़ी बिल्ली की सबसे लुप्तप्राय प्रजाति क्या है?,"अमूर तेंदुए को बड़ी बिल्ली की सबसे लुप्तप्राय प्रजाति माना जाता है, जिसमें 100 से कम व्यक्ति जंगली में बचे हैं।"
किस जानवर को मानव भाषण की नकल करने की क्षमता के लिए जाना जाता है?,अफ्रीकी ग्रे तोता मानव भाषण की नकल करने की अपनी असाधारण क्षमता के लिए जाना जाता है।
सबसे तेज समुद्री जानवर क्या है?,"सेलफिश सबसे तेज समुद्री जानवर के लिए शीर्षक रखता है, जो 68 मील प्रति घंटे तक की गति तक पहुंचता है।"
किस जानवर में सबसे जटिल संचार प्रणाली है?,"बॉटलेनोज़ डॉल्फिन में जानवरों के बीच सबसे जटिल संचार प्रणालियों में से एक है, जो क्लिक, सीटी और बॉडी लैंग्वेज के संयोजन का उपयोग कर रहा है।"
छिपकली की सबसे बड़ी प्रजाति क्या है?,"कोमोडो ड्रैगन छिपकली की सबसे बड़ी प्रजाति है, जो लंबाई में 10 फीट तक बढ़ती है और 150 पाउंड से अधिक का वजन होता है।"
किस जानवर को इकोलोकेट करने की क्षमता के लिए जाना जाता है?,"चमगादड़ को इकोलोकेट करने, उच्च-आवृत्ति ध्वनियों का उत्सर्जन करने और शिकार को नेविगेट करने और शिकार का पता लगाने के लिए गूँज का उपयोग करने की क्षमता के लिए जाना जाता है।"
ईगल की सबसे बड़ी प्रजाति क्या है?,"फिलीपीन ईगल ईगल की सबसे बड़ी प्रजाति है, एक पंखों के साथ जो 7 फीट तक पहुंच सकता है।"
कौन सा जानवर अपने अंगों को पुन: उत्पन्न करने में सक्षम है?,"एक्सोलोटल, एक प्रकार का समंदर, खोए हुए अंगों को पुन: उत्पन्न करने की अपनी उल्लेखनीय क्षमता के लिए जाना जाता है।"
हिरण की सबसे छोटी प्रजाति क्या है?,"पुडू, दक्षिण अमेरिका का एक छोटा हिरण, हिरण की सबसे छोटी प्रजाति है, जो लगभग 12 से 17 इंच लंबा है।"
कौन सा जानवर उपकरण का उपयोग करने की क्षमता के लिए जाना जाता है?,नया कैलेडोनियन क्रो अपने प्रभावशाली टूल-मेकिंग और टूल-यूजिंग क्षमताओं के लिए जाना जाता है।
कछुए की सबसे बड़ी प्रजाति क्या है?,"लेदरबैक समुद्री कछुआ कछुए की सबसे बड़ी प्रजाति है, जिसमें वयस्कों को 6 फीट तक की लंबाई और 1,000 पाउंड से अधिक वजन होता है।"
किस जानवर की सबसे जटिल सामाजिक संरचना है?,"अफ्रीकी हाथी के पास भूमि जानवरों के बीच सबसे जटिल सामाजिक संरचनाओं में से एक है, जो झुंड नामक करीबी परिवार समूहों में रहते हैं।"
ऑक्टोपस की सबसे बड़ी प्रजाति क्या है?,"विशाल प्रशांत ऑक्टोपस ऑक्टोपस की सबसे बड़ी प्रजाति है, जिसमें अधिकतम 30 फीट की अधिकतम आर्म स्पैन है।"
भूमि स्तनपायी द्वारा किस जानवर का सबसे लंबा प्रवास है?,"कारिबू, जिसे हिरन के रूप में भी जाना जाता है, का भूमि स्तनधारियों के बीच सबसे लंबा प्रवास है, जो सालाना 3,000 मील तक यात्रा करता है।"
सबसे विषैला समुद्री जानवर क्या है?,"बॉक्स जेलीफ़िश को सबसे विषैले समुद्री जानवरों में से एक माना जाता है, जिसमें इसके तम्बू शक्तिशाली विषाक्त पदार्थ होते हैं।"
किस जानवर को रंग और पैटर्न बदलकर छलावरण करने की क्षमता के लिए जाना जाता है?,कटलफिश को अपने वातावरण के साथ मिश्रण करने के लिए अपने रंग और पैटर्न को बदलकर छलावरण करने की अपनी उल्लेखनीय क्षमता के लिए जाना जाता है।
व्हेल की सबसे छोटी प्रजाति क्या है?,"बौना शुक्राणु व्हेल व्हेल की सबसे छोटी प्रजाति है, जो लगभग 8 से 9 फीट लंबाई में मापती है।"
एक पक्षी द्वारा किस जानवर का सबसे लंबा प्रवास है?,"आर्कटिक टर्न एक पक्षी द्वारा सबसे लंबे समय तक प्रवास के लिए रिकॉर्ड रखता है, आर्कटिक से अंटार्कटिक तक यात्रा करता है और प्रत्येक वर्ष लगभग 44,000 मील की दूरी को कवर करता है।"
किस जानवर को हवा के माध्यम से ग्लाइड करने की क्षमता के लिए जाना जाता है?,फ्लाइंग गिलहरी को अपने अंगों के बीच एक झिल्ली का उपयोग करके हवा के माध्यम से ग्लाइड करने की क्षमता के लिए जाना जाता है जिसे पैटैजियम कहा जाता है।
केकड़े की सबसे बड़ी प्रजाति क्या है?,"जापानी मकड़ी केकड़ा केकड़े की सबसे बड़ी प्रजाति है, जिसमें एक पैर की अवधि होती है जो 12 फीट तक पहुंच सकती है।"
किस जानवर के शरीर के आकार के सापेक्ष सबसे लंबी जीभ है?,"गिरगिट में अपने शरीर के आकार के सापेक्ष सबसे लंबी जीभ होती है, जिसका उपयोग वह तेजी से विस्तारित और इसे पीछे हटाने से शिकार को पकड़ने के लिए करता है।"
पेंगुइन की सबसे छोटी प्रजातियां क्या हैं?,"लिटिल ब्लू पेंगुइन, जिसे फेयरी पेंगुइन के रूप में भी जाना जाता है, पेंगुइन की सबसे छोटी प्रजाति है, जो लगभग 13 इंच लंबा है।"
किस जानवर को लंबे समय तक हाइबरनेट करने की क्षमता के लिए जाना जाता है?,"ग्राउंडहोग, जिसे वुडचुक के रूप में भी जाना जाता है, को सर्दियों के दौरान लंबे समय तक हाइबरनेट करने की क्षमता के लिए जाना जाता है।"
मछली की सबसे बड़ी प्रजाति क्या है?,"व्हेल शार्क मछली की सबसे बड़ी प्रजाति है, जो 40 फीट या उससे अधिक की लंबाई तक पहुंचती है।"
किस जानवर में सबसे रंगीन प्लमेज है?,"नर मोर में पक्षियों के बीच कुछ सबसे रंगीन प्लमेज होते हैं, जिसमें जीवंत इंद्रधनुषी पंख होते हैं।"
कृंतक की सबसे बड़ी प्रजाति क्या है?,"कैपिबारा कृंतक की सबसे बड़ी प्रजाति है, जिसमें वयस्कों का वजन 150 पाउंड तक है।"
कौन सा जानवर अन्य ध्वनियों और आवाज़ों की नकल करने की क्षमता के लिए जाना जाता है?,"लिरेबर्ड्स अन्य पक्षी प्रजातियों, मानव आवाजों और यहां तक ​​कि यांत्रिक ध्वनियों सहित विभिन्न ध्वनियों की नकल करने की अपनी उल्लेखनीय क्षमता के लिए जाना जाता है।"
सबसे तेज समुद्री स्तनपायी क्या है?,"आम डॉल्फिन सबसे तेज समुद्री स्तनपायी के लिए शीर्षक रखता है, जो 60 किमी/घंटा (37 मील प्रति घंटे) तक की गति तक पहुंचता है।"
किस जानवर के पास सबसे शक्तिशाली किक है?,"शुतुरमुर्ग में जीवित पक्षियों और जानवरों के बीच सबसे शक्तिशाली किक है, जो अपने लंबे पैरों के साथ एक शक्तिशाली हड़ताल देने में सक्षम है।"
सांप की सबसे बड़ी प्रजाति क्या है?,"रेटिकुलेटेड पायथन सांप की सबसे बड़ी प्रजाति है, जो 30 फीट या उससे अधिक की लंबाई तक पहुंचती है।"
खोए हुए अंगों को फिर से संगठित करने की क्षमता के लिए किस जानवर को जाना जाता है?,"स्टारफिश, जिसे सी स्टार के रूप में भी जाना जाता है, को खोए हुए अंगों को फिर से संगठित करने की अपनी उल्लेखनीय क्षमता के लिए जाना जाता है।"
मगरमच्छ की सबसे छोटी प्रजातियां क्या हैं?,"बौना मगरमच्छ मगरमच्छ की सबसे छोटी प्रजाति है, जिसमें वयस्क आमतौर पर लगभग 5 से 6 फीट लंबाई में मापते हैं।"
किस जानवर की सबसे तीव्र सुनवाई है?,"बैट में जानवरों के बीच सबसे तीव्र सुनवाई है, जो अंधेरे में शिकार को नेविगेट करने और पता लगाने के लिए इकोलोकेशन का उपयोग करती है।"
हिरण की सबसे बड़ी प्रजाति क्या है?,"मूस, जिसे यूरोप में एल्क के रूप में भी जाना जाता है, हिरण की सबसे बड़ी प्रजाति है, जिसमें पुरुषों (बैल) का वजन 1,500 पाउंड या उससे अधिक है।"
किस जानवर को पानी पर चलने की क्षमता के लिए जाना जाता है?,"बेसिलिस्क छिपकली, जिसे यीशु मसीह छिपकली के रूप में भी जाना जाता है, को पानी की सतह के पार चलाने की क्षमता के लिए जाना जाता है।"
किरण की सबसे बड़ी प्रजाति क्या है?,"मंटा किरण किरण की सबसे बड़ी प्रजाति है, जिसमें कुछ व्यक्तियों में 29 फीट तक का पंख होता है।"
